req_id,requirement,label,reference_explanation,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1074,"My home to let me know when dust particulates are high, don't go into anaphalaxis.",Health,This requirement is classified as Health because it monitors dust particulate levels in the home. This helps the user avoid exposure that could trigger a severe allergic reaction.,,,,,
2732,"My smart home to adjust the water temperature in the shower by my input into my smart phone, take comfortable showers.",Health,This requirement is classified as Health because it allows the user to adjust shower water temperature through a smartphone for a comfortable shower. This supports the user's physical comfort and well-being.,,,,,
2052,"To know the amount of time my vegetables have been in the fridge, I can use them all before they go bad.",Health,This requirement is classified as Health because it tracks how long vegetables have been stored in the refrigerator. This helps the user consume food before it spoils.,,,,,
2777,"Smart pooper scooper, it will automatically clean up what my dogs leave in the yard and either dispose of waste through plumbing or place into an airtight receptacle.",Health,This requirement is classified as Health because it automatically removes and disposes of pet waste. This helps maintain a cleaner and more hygienic outdoor environment.,,,,,
2759,"Temperature sensing oven, the temperature of the food will be displayed.",Health,This requirement is classified as Health because it displays the temperature of food while cooking. This helps the user monitor food preparation appropriately.,,,,,
1602,"Feature to notify health issue, I can detect do I need medicine.",Health,This requirement is classified as Health because it notifies the user about potential health issues. This helps the user determine when medication may be needed.,,,,,
1297,"My home to monitor my body and it's functions and test excretions for possible ailments, I can be sure I'm healthy and disease free.",Health,This requirement is classified as Health because it monitors the user's body functions and analyzes excretions for possible illnesses. This supports health monitoring and early detection of potential ailments.,,,,,
3128,"A robot pooper scooper, it can follow Fido in the yard and bag and toss his waste so I don't have to.",Health,This requirement is classified as Health because a robot automatically collects and disposes of pet waste. This helps maintain a cleaner and more hygienic environment.,,,,,
811,"Doors to shut automatically if I leave them open unattended, I can feel better about the cleanliness of my house.",Health,This requirement is classified as Health because doors automatically close when left open. This helps maintain a cleaner indoor environment.,,,,,
653,"My smart home to keep track of my pets health, they will remain healthy.",Health,This requirement is classified as Health because it monitors the pet's health. This helps ensure the pet remains healthy by tracking its condition.,,,,,
3136,"be able to scan movement in the walls regularly  ,i can be alerted by pests when they first intrude.",Health,This requirement is classified as Health because it regularly scans walls for pest activity. This helps maintain a healthier living environment by detecting infestations early.,,,,,
3105,"uv light show holder,kill germs",Health,This requirement is classified as Health because it uses ultraviolet light to eliminate germs and promote a cleaner environment. The primary objective is to support health and well-being by reducing exposure to harmful microorganisms.,,,,,
909,"my refrigerator and freezer temperature monitored ,I don't have to worry about food contamination, spoilage or inadequate food storage",Health,This requirement is classified as Health because it monitors refrigerator and freezer temperatures. This helps prevent food spoilage and contamination by maintaining proper food storage conditions.,,,,,
2009,"a medicine cabinent ,i can keep my medicine organized.",Health,"This requirement is classified as Health because it provides organized storage for medications, making them easier to manage and access when needed. The primary objective is to support effective medication management and promote health-related organization.",,,,,
3048,"harmful gases, lead levels, and more are monitored  ,my children are healthy at all times",Health,"This requirement is classified as Health because it monitors harmful gases, lead levels, and other environmental hazards. This helps maintain a healthier indoor environment for the family.",,,,,
609,"to know when my children are not feeling well ,i can take them to hospital",Health,This requirement is classified as Health because it detects when children are not feeling well. This allows timely medical attention when needed.,,,,,
3006,"my smart home to equipped with smart bed ,it can track my hours of sleep,breathing,heart rate and movement",Health,"This requirement is classified as Health because the smart bed tracks sleep, breathing, heart rate, and movement. This supports ongoing health monitoring and well-being.",,,,,
286,"my smarthome to alert me whenever the amount of milk in my fridge is too low ,I can get them from the supermarket and enjoy a wholesome breakfast",Health,This requirement is classified as Health because it alerts the user when milk is running low. This helps ensure nutritious food remains available.,,,,,
