req_id,requirement,label,reference_explanation
738,"Temperature control in each room, unused rooms aren't wasting energy.",Energy,This requirement is classified as Energy because it controls the temperature in each room to avoid wasting energy in unused spaces. This improves energy efficiency throughout the home.
1192,"A nightlight that I can turn off with my smartphone after my child is asleep, I don't wake them up and it does not stay on all night.",Energy,This requirement is classified as Energy because it allows the user to turn off a nightlight remotely after a child falls asleep. This prevents the light from remaining on unnecessarily and reduces energy use.
2674,"Exercise to turn to electricity, I can contribute.",Energy,This requirement is classified as Energy because it converts exercise into electricity. This contributes to generating usable energy.
3266,"To have a notification to my smartphone about energy use and rate, I can save energy and use it at the best time.",Energy,This requirement is classified as Energy because it notifies the user about energy usage and rates. This helps the user reduce energy consumption and use electricity at more efficient times.
1078,"Want my sprinklers to turn off after 3 minutes, so that i will use less water.",Energy,This requirement is classified as Energy because it automatically turns off sprinklers after a set duration. This reduces unnecessary water usage.
1310,"Automated light, So that if I forget to turn off the lamp it will happen on its own.",Energy,This requirement is classified as Energy because it automatically turns off lights when they are left on. This prevents unnecessary electricity consumption.
2409,"My thermostat to auto adjust to real time outdoor temperature, energy will be used efficiently based on weather.",Energy,This requirement is classified as Energy because it automatically adjusts the thermostat based on real-time outdoor temperature. This improves the efficiency of energy use for heating or cooling.
2066,"A daily readout of utility useage per zone (kitchen, bathroom), I can learn how to save energy and lower bills.",Energy,This requirement is classified as Energy because it provides daily utility usage information for different home zones. This helps the user identify opportunities to reduce energy consumption and lower bills.
1219,"My water in the shower to shut off after 10 minutes, I can conserve water.",Energy,This requirement is classified as Energy because it automatically shuts off the shower after a set time. This helps conserve water resources.
439,"Home that use earth friendly energy saving techniques, I do less harm to the earth.",Energy,This requirement is classified as Energy because it uses environmentally friendly energy-saving techniques. This reduces overall energy consumption and environmental impact.
2005,My shower to turn on when my alarm goes off. My shower will be warm when I get up.,Energy,This requirement is classified as Energy because it automates the shower to turn on when the alarm goes off. This manages energy use for water heating based on the user's routine.
2446,"My washing to run only when there is a full load of laundry, i will conserve energy and water by only running when necessary.",Energy,This requirement is classified as Energy because it runs the washing machine only when there is a full load. This conserves both energy and water by avoiding unnecessary wash cycles.
2327,"A comfortable temperature, the temperature doesn't vary between 68-76 degrees.",Energy,This requirement is classified as Energy because it maintains the home's temperature within a specified range. This supports efficient temperature control while keeping the home comfortable.
1085,"My lights bulbs to turn off after 5 minutes, i use less energy.",Energy,This requirement is classified as Energy because it automatically turns off light bulbs after five minutes. This reduces unnecessary electricity consumption.
410,"Room thermostat sensor, The room is optimal temperature for an occupant.",Energy,This requirement is classified as Energy because a room thermostat sensor maintains an optimal room temperature. This supports efficient heating and cooling management.
1372,"Smart light controls, I can turn all of the lights off from my bed.",Energy,This requirement is classified as Energy because it allows the user to turn off all lights remotely from bed. This helps prevent lights from being left on unnecessarily.
1410,"A self sustaining greenhouse, my plants will always be taken care of and watered properly.",Energy,This requirement is classified as Energy because it automatically manages the greenhouse by caring for and watering plants. This optimizes the use of water and resources needed to maintain the greenhouse.
99,"a smart shower,I can save energy while using it as efficiently as possible",Energy,This requirement is classified as Energy because its purpose is to help the user save energy while using the shower efficiently. The requirement directly emphasizes optimizing resource consumption during shower use.
2040,"My smart home to alert me if water is left on outside, I can save money on my water bill during the summer.",Energy,This requirement is classified as Energy because it alerts the user if water is left running outside. This helps reduce unnecessary water usage and lower water bills.
3096,I'm aware if a window is open and letting cold/hot air in. I can always be comfortable.,Energy,This requirement is classified as Energy because it notifies the user when a window is open and allowing heated or cooled air to escape. This helps reduce unnecessary energy loss.
3041,"Have solar power, coal doesn't pollute the air to power my home.",Energy,This requirement is classified as Energy because it uses solar power to provide energy for the home. This reduces reliance on energy sources that cause air pollution.
391,"A faster pre-heating oven, i can cook things without as much planning or waiting.",Energy,This requirement is classified as Energy because it improves the efficiency of oven pre-heating. This reduces the time and energy required before cooking.
3106,"Walls that collect sunlight to heat my house, I spend less money on heat.",Energy,This requirement is classified as Energy because the walls collect sunlight to heat the house. This reduces the need for additional heating energy.
786,"A voice activated warning when the energy cost is more than certain amount, I can tell everyone to be careful with their use of energy.",Energy,This requirement is classified as Energy because it provides a voice warning when energy costs exceed a specified amount. This encourages users to reduce energy consumption.
2863,"The temperature of the water to raise and lower as needed throughout the day, I am not always heating water that isn't being used.",Energy,This requirement is classified as Energy because it adjusts the water temperature throughout the day based on usage. This avoids heating water when it is not needed.
1156,My smart home to start laundry after it senses a full load of clothes. I can save time and manage my water use efficiently.,Energy,This requirement is classified as Energy because it starts the laundry only after detecting a full load of clothes. This helps manage water use efficiently while avoiding unnecessary wash cycles.
1475,"Remote access to outlets, I can turn them off to avoid energy vampires.",Energy,This requirement is classified as Energy because it provides remote access to control electrical outlets. This allows the user to turn off devices that consume unnecessary standby power.
194,"My smart house to have solar panels, I can save money on electricity.",Energy,This requirement is classified as Energy because it uses solar panels to supply electricity for the home. This reduces dependence on conventional electricity sources and lowers electricity costs.
546,"all the rooms to have a humidifier that works with the heating and cooling system ,energy can be saved, the air in my home will be cleaner and to suck up excess moisture in the home",Energy,This requirement is classified as Energy because it integrates humidifiers with the heating and cooling system to improve efficiency. This helps save energy while maintaining indoor air quality and moisture levels.
195,"my smart home to shut off the air when the room is at the right temperature ,I can save money on bills",Energy,This requirement is classified as Energy because it automatically shuts off the air system when the desired room temperature is reached. This reduces unnecessary energy consumption and lowers utility bills.
838,"lights and electronics that sense when i've fallen asleep and adjust automatically ,i can save energy",Energy,This requirement is classified as Energy because it automatically adjusts lights and electronics after detecting that the user has fallen asleep. This reduces unnecessary energy use.
1805,"my water tank to make an before getting emply ,I will start to refill my water tank",Energy,This requirement is classified as Energy because it alerts the user before the water tank becomes empty. This supports efficient management of water resources by enabling timely refilling.
296,"items to save energy ,my bills arent high",Energy,This requirement is classified as Energy because it focuses on saving energy. This helps reduce overall energy costs and lower utility bills.
709,"self retracting sky lights ,sunlight can help to heat the home or prevent it from entering to keep it cool",Energy,This requirement is classified as Energy because self-retracting skylights regulate sunlight entering the home. This helps reduce heating and cooling energy requirements.
2019,"gas stove ,to save energy",Energy,This requirement is classified as Energy because it is intended to save energy. This supports more efficient energy use in the home.
2483,"my refrigerator to recognize, inventory, and display everything inside ,I won't waste energy and time staring into it",Energy,This requirement is classified as Energy because the refrigerator inventories and displays its contents without requiring the door to remain open. This helps reduce unnecessary energy loss.
574,"a central air conditioning unit that automatically orders new air filters for itself when air quality diminishes ,I can maximize energy efficiency and air health",Energy,This requirement is classified as Energy because the air conditioning unit automatically replaces air filters when needed to maximize efficiency. This helps maintain efficient system performance while improving air quality.
2119,"My home to turn on the lights when I come home and turn off the ones I'm not using when I leave a room, ,I can save on my energy bill.",Energy,This requirement is classified as Energy because it turns lights on only when needed and switches off unused lights automatically. This reduces unnecessary electricity consumption.
1083,"have the lights turn off automatically if it senses no motion ,I can save money",Energy,This requirement is classified as Energy because it turns off lights automatically when no motion is detected. This helps reduce electricity use and save money.
329,"the house to automatically determine the right temperature to set the thermostat ,I will save on my home heating bills",Energy,This requirement is classified as Energy because it automatically determines the optimal thermostat setting. This improves heating efficiency and reduces energy costs.
1540,"a roof made of solar panels that functions as a roof and an energy source ,I can save electricity and money",Energy,This requirement is classified as Energy because it uses solar panels as both a roof and an energy source. This helps reduce electricity consumption and energy costs.
957,"my smart home to send an alert to my phone when my children cut any electronics on after 10 pm. ,energy can be saved and I can monitor their computer usage.",Energy,This requirement is classified as Energy because it alerts the user when children use electronics after a specified time. This helps reduce unnecessary electricity usage.
2714,"Rollup window blind sensors ,The window blinds will open automatically during daylight hours and then close when it is dark.",Energy,This requirement is classified as Energy because window blind sensors automatically adjust blinds based on daylight conditions. This helps regulate indoor temperature and reduce energy use.
3057,"save time cleaning so automatic cleaner ,I spend moretime with kids",Energy,This requirement is classified as Energy because it automates cleaning tasks to reduce manual effort. This performs household work efficiently through automated operation.
3046,"lights to be turned off when I leave a room ,I can save anergy",Energy,This requirement is classified as Energy because it turns off lights automatically when the user leaves a room. This reduces unnecessary electricity consumption.
423,"Electronic usage monitor ,I can tell how much energy I'm using real time",Energy,This requirement is classified as Energy because it monitors energy usage in real time. This helps the user understand and manage energy consumption.
409,"I would like my smart home to turn off outlets where and appliances are plugged in at night and when I leave the house. ,I can save money on electricity",Energy,This requirement is classified as Energy because it turns off outlets and connected appliances at night and when the house is empty. This reduces unnecessary electricity consumption and lowers energy costs.
1450,"Lights to be activated and de-activated as I enter and leave a room, I can save energy.",Energy,This requirement is classified as Energy because it automatically activates and deactivates lights as the user enters and leaves a room. This reduces unnecessary electricity consumption.
2647,"To shut off my hot water heaters when I am not at home, I save energy by not heating water when I don't need it.",Energy,This requirement is classified as Energy because it shuts off the hot water heater when the user is away from home. This avoids heating water unnecessarily and saves energy.
2833,"Digital readout of power usage for week, month, year, I can monitor my power consumption and estimate my costs.",Energy,This requirement is classified as Energy because it provides power usage summaries over different time periods. This helps the user monitor energy consumption and estimate costs.
701,"a showerhead that alerts me when I use more than an amount predetermined by me,I can save on my utilities and conserve water",Energy,This requirement is classified as Energy because it monitors water usage and alerts the user when a predefined consumption limit is exceeded. This helps the user reduce utility consumption and conserve resources by encouraging more efficient water use.
17,"My smart home to regulate ideal temperature according to my personal preferences and the outside temperature, I can be comfortable.",Energy,This requirement is classified as Energy because it regulates the home's temperature based on personal preferences and outdoor conditions. This supports efficient temperature management while maintaining comfort.
1783,"The temperature to always be changeable via a phone app, i can have all thermostats change to a specific temperature using just one device.",Energy,This requirement is classified as Energy because it allows the user to adjust all thermostats remotely through a phone app. This enables efficient management of home temperature settings.
999,"Automatic lighting system which turns on light after getting dark, i don't need to worry about switching on and off lights when i am out of home.",Energy,This requirement is classified as Energy because it automatically turns on lights after dark. This manages lighting without requiring unnecessary operation by the user.
1261,"Floor heater turned on, the floor can warm my feet.",Energy,This requirement is classified as Energy because it uses a floor heater to provide warmth. This manages heating within the home to improve comfort.
1419,"A system that notifies me when I'm using too much energy, I can save money on my monthly light bill.",Energy,This requirement is classified as Energy because it notifies the user when energy usage becomes excessive. This helps the user reduce consumption and lower electricity costs.
912,"My smart home to notify me if the household's carbon footprint is getting too high, we can be more environmentally responsible.",Energy,This requirement is classified as Energy because it notifies the user when the household's carbon footprint becomes too high. This encourages more efficient and environmentally responsible energy use.
2105,"To control my solar panel with my smartphone, I can make sure there is enough power for the night.",Energy,This requirement is classified as Energy because it allows the user to control solar panels through a smartphone. This helps manage available power efficiently.
1574,"The electric switch should automatically switch off lights, fans and TV when there is no one at home. So that I save on electric bills.",Energy,"This requirement is classified as Energy because it automatically switches off lights, fans, and televisions when no one is home. This reduces unnecessary electricity consumption and lowers energy bills."
2627,"The fireplace to turn on as soon as I enter the living room, I can be warm and comfortable in the winter.",Energy,This requirement is classified as Energy because it automatically turns on the fireplace when the user enters the living room. This manages home heating to provide warmth when needed.
2389,"A robot that automatically shoots a net at any stranger that comes into my house, i can play around with the net and potentially catch a burglar in the unlikely event.",Energy,This requirement is classified as Energy because it automates a home response by deploying a net when a stranger enters the house. This performs the requested function through an automated system.
3062,"Motion sensors throughout the house, rooms which are empty turn off their lights and appliances, saving energy.",Energy,This requirement is classified as Energy because motion sensors turn off lights and appliances in empty rooms. This reduces unnecessary energy consumption.
