req_id,requirement,label,reference_explanation,,,,,
1713,"Automatic lawnmower, it can cut the grass itself without anyone doing it.",Other,This requirement is classified as Other because it automates lawn mowing without requiring user intervention. This provides convenience by handling routine yard maintenance.,,,,,
1225,"An alarm to go off when my dog stands by the door for more than 5 seconds, I can avoid accidents.",Other,This requirement is classified as Other because it alerts the user when the dog has been waiting at the door for a period of time. This helps the user respond promptly to the pet's needs.,,,,,
3030,"Alert system for washer and dryer, I can be alerted to a load finishing no matter where I am in the house.",Other,This requirement is classified as Other because it notifies the user when the washer or dryer has finished a load. This provides convenient status updates regardless of the user's location in the house.,,,,,
1074,"My home to let me know when dust particulates are high, don't go into anaphalaxis.",Health,This requirement is classified as Health because it monitors dust particulate levels in the home. This helps the user avoid exposure that could trigger a severe allergic reaction.,,,,,
1915,"Home monitors observe my activity and know when I am about to leave and have a Uber ready, Save time, just walk out and go.",Other,This requirement is classified as Other because it monitors the user's routine and automatically prepares transportation before they leave home. This improves convenience and saves time.,,,,,
866,"Projected figure to assist me with a click of a remote, i could get any help i need in any room.",Other,This requirement is classified as Other because it projects a virtual assistant into any room when requested. This provides convenient assistance throughout the home.,,,,,
448,"A home that helps me to nourish and grow my plants, i can keep a healthy garden.",Other,This requirement is classified as Other because it helps the user care for and grow plants. This supports convenient garden maintenance.,,,,,
2732,"My smart home to adjust the water temperature in the shower by my input into my smart phone, take comfortable showers.",Health,This requirement is classified as Health because it allows the user to adjust shower water temperature through a smartphone for a comfortable shower. This supports the user's physical comfort and well-being.,,,,,
2052,"To know the amount of time my vegetables have been in the fridge, I can use them all before they go bad.",Health,This requirement is classified as Health because it tracks how long vegetables have been stored in the refrigerator. This helps the user consume food before it spoils.,,,,,
641,"My television to alert me when someone calls the home line, I don't miss a call when I have the TV blasting.",Other,This requirement is classified as Other because it alerts the user to home phone calls while they are watching television. This helps ensure calls are not missed.,,,,,
1967,"My smart home to sync with package deliveries, so that the packages can be left at my door.",Other,This requirement is classified as Other because it synchronizes the smart home with package deliveries. This supports convenient package reception at the home.,,,,,
2777,"Smart pooper scooper, it will automatically clean up what my dogs leave in the yard and either dispose of waste through plumbing or place into an airtight receptacle.",Health,This requirement is classified as Health because it automatically removes and disposes of pet waste. This helps maintain a cleaner and more hygienic outdoor environment.,,,,,
3217,"A Refrigerator that can display what the best prices in my area are for food I'm running low on, I know where to go shopping for this food that day.",Other,This requirement is classified as Other because the refrigerator displays local prices for items that are running low. This helps the user plan shopping more conveniently.,,,,,
2759,"Temperature sensing oven, the temperature of the food will be displayed.",Health,This requirement is classified as Health because it displays the temperature of food while cooking. This helps the user monitor food preparation appropriately.,,,,,
2731,A robot that can prepare meals for me. I don't have to waste time cooking.,Other,This requirement is classified as Other because a robot prepares meals automatically. This saves the user time and effort in cooking.,,,,,
1226,"My baby's room to play soothing music whenever it starts crying, the baby will calm down.",Other,This requirement is classified as Other because the baby's room automatically plays soothing music when the baby cries. This provides automated comfort for the baby.,,,,,
665,"A notification via my phone/smart watch letting me know when my food is ready, I can concentrate on other things and keep the food from burning or cooking to long.",Other,This requirement is classified as Other because it notifies the user when food is ready. This allows the user to focus on other tasks while cooking.,,,,,
2110,"My tv to allow me to order food for delivery with my voice, it will make it easier for me to provide a meal for my family.",Other,This requirement is classified as Other because it allows the user to order food delivery through voice commands on the television. This provides a convenient way to arrange meals.,,,,,
1602,"Feature to notify health issue, I can detect do I need medicine.",Health,This requirement is classified as Health because it notifies the user about potential health issues. This helps the user determine when medication may be needed.,,,,,
2934,"a voice control system that allows me to monitor multiple features in the house,I can change features anywhere in the home",Other,This requirement is classified as Other because it enables voice-based control and monitoring of multiple smart home features from anywhere in the house. The primary objective is to provide convenient and centralized home automation functionality.,,,,,
1297,"My home to monitor my body and it's functions and test excretions for possible ailments, I can be sure I'm healthy and disease free.",Health,This requirement is classified as Health because it monitors the user's body functions and analyzes excretions for possible illnesses. This supports health monitoring and early detection of potential ailments.,,,,,
3128,"A robot pooper scooper, it can follow Fido in the yard and bag and toss his waste so I don't have to.",Health,This requirement is classified as Health because a robot automatically collects and disposes of pet waste. This helps maintain a cleaner and more hygienic environment.,,,,,
969,Dog food to be dispensed from a device into my dog's bowl at the same time every day. My dog will eat at the same time every day.,Other,This requirement is classified as Other because it automatically dispenses dog food at scheduled times. This provides convenient and consistent pet feeding.,,,,,
1459,"Smart water sprinklers, they only turn on when they sense that there has been a shortage in natural water fall.",Other,This requirement is classified as Other because smart sprinklers automatically water based on natural rainfall conditions. This provides automated irrigation management.,,,,,
811,"Doors to shut automatically if I leave them open unattended, I can feel better about the cleanliness of my house.",Health,This requirement is classified as Health because doors automatically close when left open. This helps maintain a cleaner indoor environment.,,,,,
653,"My smart home to keep track of my pets health, they will remain healthy.",Health,This requirement is classified as Health because it monitors the pet's health. This helps ensure the pet remains healthy by tracking its condition.,,,,,
3079,"Leakage sensors, if anything around my tank starts to leak, I get notified.",Other,This requirement is classified as Other because leakage sensors notify the user when a tank begins to leak. This provides timely information about maintenance issues.,,,,,
225,"My coffeemaker to start automatically, my coffee will be ready when I go to wake my son up early in the morning.",Other,This requirement is classified as Other because the coffee maker starts automatically before the user wakes up. This provides convenience by having coffee ready when needed.,,,,,
1043,"Bed that makes itself, I can save time on making the bed.",Other,This requirement is classified as Other because the bed automatically makes itself. This reduces the user's daily household chores and saves time.,,,,,
832,"to open my garage door  ,I can save on time and energy",Other,This requirement is classified as Other because it allows the user to open the garage door automatically. This provides greater convenience and saves time.,,,,,
3136,"be able to scan movement in the walls regularly  ,i can be alerted by pests when they first intrude.",Health,This requirement is classified as Health because it regularly scans walls for pest activity. This helps maintain a healthier living environment by detecting infestations early.,,,,,
1010,"suggestions and recipes of what I can make for a meal with whatever ingredients I have in the fridge ,I will be able to make full use of my groceries.",Other,This requirement is classified as Other because it suggests recipes based on the ingredients available in the refrigerator. This helps the user make better use of available groceries.,,,,,
3105,"uv light show holder,kill germs",Health,This requirement is classified as Health because it uses ultraviolet light to eliminate germs and promote a cleaner environment. The primary objective is to support health and well-being by reducing exposure to harmful microorganisms.,,,,,
909,"my refrigerator and freezer temperature monitored ,I don't have to worry about food contamination, spoilage or inadequate food storage",Health,This requirement is classified as Health because it monitors refrigerator and freezer temperatures. This helps prevent food spoilage and contamination by maintaining proper food storage conditions.,,,,,
1971,"My car to start warming up on my schedule ,I don't have to do the remote start manually each workday morning. ",Other,This requirement is classified as Other because it automatically warms up the user's car according to a schedule. This provides convenience by eliminating the need for manual remote starting.,,,,,
2009,"a medicine cabinent ,i can keep my medicine organized.",Health,"This requirement is classified as Health because it provides organized storage for medications, making them easier to manage and access when needed. The primary objective is to support effective medication management and promote health-related organization.",,,,,
3048,"harmful gases, lead levels, and more are monitored  ,my children are healthy at all times",Health,"This requirement is classified as Health because it monitors harmful gases, lead levels, and other environmental hazards. This helps maintain a healthier indoor environment for the family.",,,,,
609,"to know when my children are not feeling well ,i can take them to hospital",Health,This requirement is classified as Health because it detects when children are not feeling well. This allows timely medical attention when needed.,,,,,
3006,"my smart home to equipped with smart bed ,it can track my hours of sleep,breathing,heart rate and movement",Health,"This requirement is classified as Health because the smart bed tracks sleep, breathing, heart rate, and movement. This supports ongoing health monitoring and well-being.",,,,,
286,"my smarthome to alert me whenever the amount of milk in my fridge is too low ,I can get them from the supermarket and enjoy a wholesome breakfast",Health,This requirement is classified as Health because it alerts the user when milk is running low. This helps ensure nutritious food remains available.,,,,,
1563,"a device that can monitor my well being and health ,I will be alerted to changes in my health",Health,This requirement is classified as Health because it monitors the user's well-being and health. This alerts the user to changes in their health condition.,,,,,
2002,"ceiling fans to come on automatically ,air will be circulated for constant temp and comfort",Health,This requirement is classified as Health because it automatically circulates air to maintain a comfortable indoor temperature. The primary objective is to promote occupants' comfort and well-being through improved indoor environmental conditions.,,,,,
1847,"a connected washing machine that could turn on when I leave work ,my clothes can be ready to put in the dryer when I get home and will not have been wet in the washer all day",Other,This requirement is classified as Other because the washing machine starts automatically when the user leaves work. This provides convenience by having laundry ready for the next step upon arrival home.,,,,,
2941,"my smart home to provide me with a daily report containing weight, percent body fat, heart rate, respiration rate and blood pressure ,I can keep track of my health progress",Health,"This requirement is classified as Health because it provides daily reports of health measurements such as weight, heart rate, and blood pressure. This helps the user monitor their health over time.",,,,,
1325,"automated temperature checker  ,I can take a temperature without having to disturb who ever is not feeling well ",Health,This requirement is classified as Health because it measures a person's temperature automatically. This allows health monitoring without disturbing someone who is unwell.,,,,,
