req_id,requirements,label
11,"my smart home to be able to order delivery food by simple voice command, I can prepare dinner easily after a long day at work.",Health
12,"my smart home to turn on certain lights at dusk, I can come home to a well-lit house.",Energy
13,"my smart home to sync with my biorhythm app and turn on some music that might suit my mood when I arrive home from work, I can be relaxed.",Entertainment
14,"my smart home to to ring when my favorite shows are about to start, I will never miss a minute of my favorite shows.",Entertainment
15,"Class Reminders, I won't be late for class.",Energy
16,"Video feed of my animals, I know they are safe when I'm away.",Safety
17,"my smart home to regulate ideal temperature according to my personal preferences and the outside temperature, I can be comfortable.",Energy
18,"my smart home to send me a text when my kid gets home from school, I can feel comfortable knowing that they made it home safely that day.",Safety
19,"my smart home to play my team's goal home when they score, I can immerse myself in a full home sports experience.",Entertainment
20,"my smart home to keep me up to date about my children's activities when I'm out of the home, I can know they're safe and positively occupied.",Safety
21,"my smart home to send me a push notification when my kids arrive home from school, I can know they made it home safety.",Safety
22,"shut the stove off for me, I can work on other things while the food is cooking.",Energy
23,"my smart home to have a certain television show start on my TV when I arrive home, I can immediately jump into watching it..",Entertainment
24,"my smart home to buzz when the shower is warm to my desired temperature, I can know when it is optimal for me to get in.",Health
25,"my smart home to sync with my alarm in the morning to turn on the lights and shower when it's time for me to wake up, I can start my day more efficiently.",Health
26,"my smart home to shut off the sink after two minutes when brushing my teeth, I know I have brushed my teeth for at least the minimum required amount of time.",Health
27,"my smart home to lock the doors at night, my teenage children cannot sneak out.",Safety
28,"my alarm to be synced to food preparation, so that my breakfast food can be on the table (or at least ready in the toaster or oven) when I'm ready to eat it, I can start my day more efficiently.",Health
29,"Music available throughout the house, I don't have to limit my audio listening to a single room.",Entertainment
31,"my smart home to adjust the temperature based on the weather outside, I can save on my energy bill by not using the AC unnecessarily.",Energy
33,"my smart home to open my garage door when it senses my vehicle arriving outside of it, I don't have to worry about carrying a remote control opener.",Other
34,"my smart home to shut the lights off for me in rooms with nobody in them, I can save on electricity on my bills.",Energy
35,"my smart home to have auto sprinklers, automatically watering of plants occurs.",Energy
37,"my smart home to monitor my energy use and make recommendations to reduce energy consumption, I will save money on my energy bill..",Energy
38,"my smart home to buzz my room if there is a disturbance in my baby's room, I can make sure I can be there in case my baby needs anything.",Safety
39,"Control over Temperature at any time, I can save money on my electricity bill.",Energy
40,"an outdoor safety light to turn on at night when it senses something other than a family member or pet outside, I can feel safe..",Safety
41,"my smart home to notify me when someone other than a family member or trusted other is near my home, my family can be safe.",Safety
43,"my smart home to calculate what heat sources would be the best for my home (ductless heat pump, regular furnace, space heaters, or any combination therof), my home is comfortable and energy-efficient when the weather is cold outside..",Energy
44,"hallway motion detectors, safety is increased.",Safety
45,"my smart home to sync all Christmas-related lights, indoor and outdoor, and turn them on and off at the appropriate time, it's more convenient for me.",Other
47,"my smart home to notify me when a box has been delivered at my home, preferably with the packaging information from the label, I can get easy status updates on package delivery.",Other
48,"automatic fragrance sprinkler, as soon as it detects bad odour, it gets activated.",Entertainment
50,"my smart home to analyze and recommend the best sources to cool my home (air conditioning, window fan, ceiling fan, ductless heat pump, etc.), I will be comfortable during hot days..",Energy
52,"a Carbon Monoxide detector, my family is always kept safe from dangerous gasses.",Safety
54,"automated sharp furniture sensors, if my child nears such places, alarm goes off.",Safety
55,"my smart home to monitor anyone near my home's doors, windows, etc. and notify me if there is someone there who does not live in the home, I will be informed quickly if a potential intruder is at my home..",Safety
58,"automated food bowl, it automatically replenishes itself at lunch time of pet.",Health
59,"Smart appliances that give me relevant information on the food i'm cooking, Food always gets cooked as much as it's needed.",Health
60,"my smart home to greet and take pictures of anyone who enters my home who is not a registered occupant, a person wishing to do harm at home would think twice about doing so..",Safety
61,"to be notified via smartwatch application by my smarthome when my pet's water container is low, so that my pet will always be hydrated and better taken care of..",Health
62,"temprature sensors, temprature of house remains constant.",Health
63,"my smart home to inform me of any weather alerts for my area, I can be warned of potential weather issues such as snow, high winds, etc..",Safety
64,"my smart home to have video camera's outside my home, I always know who is at my door before checking.",Safety
66,"my smart home to provide news and updates on my hobbies, I can easily learn about new products I may be interested in.",Entertainment
67,"to be notified by my smarthome when my plant's soil becomes too dry, so that I can prevent my plant from dying and therefore saving money by not having to keep purchasing new plants..",Health
68,"my bed to come with smart features that allow me to control comfort, I get the best night's sleep I can have.",Health
69,"my smart home to monitor my body and inform me daily or weekly when a potential health concern is noticed, so that I can be proactive and consider visiting a doctor or dentist to have the issue reviewd..",Health
71,"automated music system, it automatically detects my mood and plays background music according to it..",Entertainment
72,"to be notified by my smarthome when my energy consumption (electricity, gas) is higher than usual, I can adjust accordingly and save money on energy bills..",Energy
73,"my smart home to make daily recommendations of activities or foods that are good for me, i.e. ""the weather is perfect for a nice walk today"", I can be reminded of my health goals, and good ways to achieve them..",Health
75,"to be alerted when a window is smashed or forced opened from outside the house, I can prepare for an intruder and call the police..",Safety
76,"socket adapters, accidental shocks are avoided.",Safety
77,"to control my stovetops with my smartphone or tablet, if i am in another room and need to lower the temperature I am able to do that.",Safety
78,"the ability to listen to my music in every room in the house simultaneously, parties will be funner and my party guests will be better entertained..",Entertainment
80,"to be able to control the oven with an app on my smartphone or tablet, I may preheat the oven from another room or lower the temperature if needed without having to go to the actual appliance.",Safety
82,"my smart home to make my bedroom the optimal temperature and lighting both when I go to sleep, and when I awaken, I will have the optimal conditions for a good night's sleep..",Health
83,"outdoor motion sensors, Trespassers can be identified.",Safety
84,"to be able to open the garage door with my smartphone/tablet, I don't have to go down to the garage to close it if I forget.",Safety
85,"my smartphone to silence notifications (sounds, doorbells, TVs, etc.) unless it is an emergency, I can study.",Health
86,"air purity controller, it detects pollution and sensors get active.",Health
87,"my smart home to make recommendations when new movies come out that match my viewing habits, I will benefit from movie suggestions that I will probably enjoy..",Entertainment
88,"the electricity switches off when no one is inside the room, there will be a big saving on electricity bills.",Energy
89,"my smartphone to create an environment (lighting, sound, temperature), I can study.",Health
90,"a smart thermostat, it can manage energy efficiently and predict what type of temperatures we prefer at different times of the year.",Energy
91,"my smart home to clean the floors regularly, the house is clean.",Health
92,"the radio system to adjust volume based on the distance of the people, avoids the use of remote control and saves battery.",Entertainment
93,"a smart coffee machine, my coffee will be ready in the morning when i ask it to be without having to deal with making it myself.",Entertainment
94,"my smart home to feed and water the pets on a schedule, they are taken care of routinely.",Health
95,"a robot to clean windows, I dont have to risk hurting myself to wash windows in dangerous places.",Safety
96,"the central a/c system to switch between cooling and heating based on temperature, there will be no need to manually adjust the system.",Energy
99,"a smart shower, I can save energy while using it as efficiently as possible.",Energy
100,"the door look to have an automated alarm when someone leaves or enters the room, i can monitor my young child movements at night.",Safety
103,"smart carbon monoxide detectors, I can see the amount of carbon monoxide in each room in my house on a smartphone/tablet while I'm away from my home to make sure my family is ok.",Safety
106,"i want my smart home to buzz when my child is close to an object that can potentially fall, i want my smart home to make dog barking sound when a person.",Health
108,"the vacuum cleaner to run automated on scheduled timings, it would help in forgetting to manually vacuum.",Safety
110,"a smart touchscreen tv implanted in the wall of each room, I can control each room uniquely and separately. If i want to play music in that room or watch a show I can etc.",Entertainment
112,"a wireless charger for my devices, it wirelessly charges the devices when it falls below the battery limit.",Entertainment
114,"an app to control the shades/blinds on my windows, I can control them easily at home or while I'm out incase I forgot to close one.",Entertainment
115,"a device that organizes the kitchen items and gives an alarm or places the order when it falls below the limit, i benefit of not forgetting to stock the fruits and vegetables.",Health
121,"Adjust temperature in room, based on my location (if near, turn on heater/cooler, if far from home turn of), Cut energy cost.",Energy
122,"a learning thermostat, my home will be energy efficient and comfortable.",Energy
123,"to be notified if I accidentally leave the stove or oven on, my family will be safer from fire and carbon monoxide poisioning..",Safety
124,"an automatic garage door opener, it's easier and safer to get in and out.",Safety
125,"i want any time my room is weather adjustment, so  i am always relax my home.",Entertainment
126,"my room lighting to change lighting effect based on the time of day, i benefit on a pleasant mood everytime.",Health
127,"smart locks, my home is secure.",Safety
128,"a smart device that sends out photos of person who enter through the main gate, i would know who have come to home while we are away.",Safety
129,"My smart home to alert me via a specific sound and a text message via mobile phone that someone has approached my car positioned in my driveway., vehicle-related thefts can be minimized either when we are home or are not..",Safety
130,"to unlock the door from a remote location that has an alert with video feed, the kids don't need to wait when they get to home.",Safety
131,"smart window cleaners, I don't have to do that chore.",Other
132,"a device that greets and welcomes guests at the doorstep, our guests would feel humbled by its gesture.",Entertainment
134,"outdoor motion detectors, I have an added measure of security of the property.",Safety
136,"Doors automaticaly lock / relock if I'm near it (NFC, IR bracelet, or something similar), no need to use key.",Safety
137,"smart breakfast appliances, it will save me time in the morning..",Health
138,"my smart home  to to turn on the tv when I get home, I can relax as soon as possible.",Entertainment
139,"window sensors, I'm aware if a window is open and letting cold/hot air in.",Energy
141,"to be notified by my smarthome of the present air quality in my home., my family will have fewer respiratory issues and better overall health..",Health
142,"integrated smart electronics, I only need one remote and devices are easy to operate.",Entertainment
143,"House vacuum clean itself when I'm not home (like integrated roomba vacuum cleaner), no need to manualy clean.",Health
144,"my smart home to play a warning sound when my child is close to the stove, he won't burn himself.",Safety
145,"a robot cleaner, I will not need to wash the floor and sweep myself.",Other
146,"my smart home to lower the thermostat at night, I can save expenses paid for air conditioning.",Energy
147,"smart lights, they are scheduled to dim at night or turn off when no one is in the room.",Energy
148,"my child don't fear for dark nights, my child get a peaceful dreams.",Energy
149,"my smart home to play a lullaby at bed time, I don't have to sing my children to sleep.",Entertainment
150,"save my home energy, the sensors save the home energy.",Energy
151,"my smart TV to switch to the sports channel when the sports game begins, I don't miss the game.",Energy
152,"Home automatically heats precooked meal based on approximate of arrival (based on GPS location), no need to manually cook / heat meal.",Other
153,"Room thermostats, It Can indicate the outside temperature and room temperature as well so that i can well prepared for it in advance.",Safety
154,"my smart house to screen all forms of communication including visitors, I can focus on what is important at the moment.",Safety
155,"my smart home to actively and proactively secure itself, my family and I feel safe, even if we forget to lock a window.",Safety
156,"my smart home to alert me when I am about to run out of medication, I will never run out of mediaction.",Health
157,"Lights in child bedroom can be controlled automatically, or can be programed, kids sleep earlier.",Health
160,"my smart home to turn on the sprinkers when there is a fire, the house won't burn down.",Safety
161,"a projector mounted on the wall that has wifi capabilities to connect to video streaming services (Netflix etc), my family can be entertained without having to fumble with several different electronics..",Entertainment
162,"my smart house to convert a room (move furniture, have mirrors, and have a place for media), I can exercise and practice for more time rather than rearrange a room on a daily basis.",Entertainment
163,"my smart home to play my favorite music at 7:45 AM, I can wake up listening to my favorite music.",Entertainment
165,"my smart home to monitor energy use and excess, we can determine how to be more conscientious of what we use.",Energy
166,"my smart home to alert me when there is more than one person in the house, I would know if someone is breaking in.",Safety
167,"the ability to turn off/on lights in different rooms with voice commands., I can save energy without having to physically walk over to the room..",Energy
168,"my smart home to alert me when my children are not home by their usual time, I will know if they have gone missing.",Safety
169,"my smart home to activate safety features such as window coverings, the house is safer during inclement weather.",Safety
170,"Bed automatically makes itself for sleeping and after sleeping, no need to occupant manually make bed.",Other
171,"to be notified when my dog enters and exits my home, I can be aware of my dog's whereabouts at all times and therefore be a more responsible pet owner..",Safety
173,"my smart home to remember entertainment preferences, such as music or videos, one does not need to bring a laptop into each room.",Entertainment
174,"home automatically check air quality (for elegant, dust, soot etc) and try to improve quality level by automatic intake of fresh air, air quality is on good level.",Health
175,"Get early notification when kids are back from school (based on GPS location), know precisely when they arrive.",Safety
176,"My smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway, home and/or vehicle-related thefts can be minimized either when we are home or are not.",Safety
177,"garage door open automatically when I arive with my car, no need to manually open garage dors.",Safety
178,"my smart home to automatically switch off/on electric gadgets like bulbs, fans, ACs when a person move out or move in the particular affected region of particular gadget., so that both energy and money can be saved.",Energy
