req_id,requirement,label,reference_explanation
2964,"the temperature to adjust by voice command ,when I shower, I do not get scalded.",Safety,This requirement is classified as Safety because it allows the user to adjust the water temperature by voice command to prevent scalding while showering. This helps reduce the risk of burns by enabling safer control of water temperature.
303,"Something to warn me if there is an electrical problem in the wall, I can get it fixed before my house burns down.",Safety,This requirement is classified as Safety because it provides a warning when an electrical problem is detected in the wall. This enables the issue to be repaired before it causes a house fire.
1954,"My smart home to notify me wherever I am whenever someone gets in the pool, I can be aware of safety issues.",Safety,This requirement is classified as Safety because it notifies the user whenever someone enters the pool. This helps the user respond quickly to potential safety issues.
738,"Temperature control in each room, unused rooms aren't wasting energy.",Energy,This requirement is classified as Energy because it controls the temperature in each room to avoid wasting energy in unused spaces. This improves energy efficiency throughout the home.
1913,"Home outside monitors alert me if someone approaches my home, So I can be safe.",Safety,This requirement is classified as Safety because outside monitors alert the user when someone approaches the home. This helps the user stay aware of potential security concerns.
2845,"A monitor to notify EMS if I don't move for more than a day, if I die or become unconscious I can be removed or have help sent.",Safety,This requirement is classified as Safety because it monitors the user's movement and notifies emergency medical services if no movement is detected for an extended period. This enables emergency assistance to be sent when needed.
224,"Motion lights, I can see any intruders at night as they approach.",Safety,This requirement is classified as Safety because motion-activated lights improve visibility when someone approaches the home at night. This helps the user detect potential intruders.
1192,"A nightlight that I can turn off with my smartphone after my child is asleep, I don't wake them up and it does not stay on all night.",Energy,This requirement is classified as Energy because it allows the user to turn off a nightlight remotely after a child falls asleep. This prevents the light from remaining on unnecessarily and reduces energy use.
2674,"Exercise to turn to electricity, I can contribute.",Energy,This requirement is classified as Energy because it converts exercise into electricity. This contributes to generating usable energy.
2237,"Smarthome feature that alerts me when any medium or large animals are near my house outside, I can feel safer when I let my small dogs out at night.",Safety,This requirement is classified as Safety because it alerts the user when medium or large animals are near the house. This helps protect small dogs from potential danger.
1106,"A carbon monoxide and smoke monitor that has a display and smart features, I don't have to deal with old smoke detectors and monitors that I'm not even sure are working properly.",Safety,This requirement is classified as Safety because it monitors carbon monoxide and smoke while providing smart monitoring features. This helps ensure hazards are detected reliably.
3266,"To have a notification to my smartphone about energy use and rate, I can save energy and use it at the best time.",Energy,This requirement is classified as Energy because it notifies the user about energy usage and rates. This helps the user reduce energy consumption and use electricity at more efficient times.
2000,"My smart home to sense when my pet approaches the pet door and open for the pet to go out and come in, the pet door will not allow access to break ins but only allow my pets in and out.",Safety,This requirement is classified as Safety because it allows pets to use the pet door while preventing unauthorized access. This helps protect the home from break-ins.
1078,"Want my sprinklers to turn off after 3 minutes, so that i will use less water.",Energy,This requirement is classified as Energy because it automatically turns off sprinklers after a set duration. This reduces unnecessary water usage.
2937,"My home to alert me if my dog gets out of the yard, I can promptly retrieve my dog to prevent danger to my dog or to any people who might encounter him.",Safety,This requirement is classified as Safety because it alerts the user if the dog leaves the yard. This allows the user to retrieve the dog quickly and prevent potential danger.
1109,"My smart home to alert the police if someone is trying to break in, my home and valubles are protected.",Safety,This requirement is classified as Safety because it alerts the police if someone attempts to break into the home. This helps protect the home and valuable property.
187,"My smart home to alarm me if danger, I can be safe.",Safety,This requirement is classified as Safety because it alarms the user when danger is detected. This helps the user respond to hazardous situations.
1650,"My electronic items to be periodically noted, as it might cause injury to my family members, I can change it or service it at appropriate time, make things for safety.",Safety,This requirement is classified as Safety because it periodically checks electronic items that could cause injury. This allows maintenance or replacement before they become hazardous.
1310,"Automated light, So that if I forget to turn off the lamp it will happen on its own.",Energy,This requirement is classified as Energy because it automatically turns off lights when they are left on. This prevents unnecessary electricity consumption.
3123,"Be able to set up electronic use monthly and have my smart home follow regulations i put forth, my children have guidelines and limited exposure to technology daily.",Safety,This requirement is classified as Safety because it enforces user-defined limits on electronic device usage. This helps ensure children follow safe technology usage guidelines.
2409,"My thermostat to auto adjust to real time outdoor temperature, energy will be used efficiently based on weather.",Energy,This requirement is classified as Energy because it automatically adjusts the thermostat based on real-time outdoor temperature. This improves the efficiency of energy use for heating or cooling.
2066,"A daily readout of utility useage per zone (kitchen, bathroom), I can learn how to save energy and lower bills.",Energy,This requirement is classified as Energy because it provides daily utility usage information for different home zones. This helps the user identify opportunities to reduce energy consumption and lower bills.
1139,"All appliances to turn off when people leave the room, the house wont burn down to the ground.",Safety,This requirement is classified as Safety because it turns off appliances when people leave the room. This reduces the risk of a fire caused by unattended appliances.
3102,"Sensors on the bathtub, if I fall the paramedics will be called.",Safety,This requirement is classified as Safety because bathtub sensors detect a fall and automatically contact paramedics. This enables a rapid emergency response.
